"climbRate","Sgz","p","q","curPitch","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SeTime1","SeTime2","SeTime3","SeTime4","SeTime5","SeTime6","SeTime7","SeTime8","SeTime9","SeTime10","SeTime11","SeTime12","SeTime13","SeTime14","diffSeTime1","diffSeTime2","diffSeTime3","diffSeTime4","diffSeTime5","diffSeTime6","diffSeTime7","diffSeTime8","diffSeTime9","diffSeTime10","diffSeTime11","diffSeTime12","diffSeTime13","diffSeTime14","alpha","Se","goal"
-387,10,-0.35,0.09,1.29,0.2,-19,13,-0.002,-0.3,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.032,-0.0017
-209,-2,-0.3,0.2,1.13,-0.7,-20,5,0.008,-1.1,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033,-0.0016
-72,-11,0.14,0.41,1.04,-1.1,-20,-8,0.009,-2.6,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.035,-0.0015
-175,-13,0.22,0.28,1.14,-0.9,-20,-10,0.007,0.6,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,1,0.035,-0.0014
-241,-16,0.29,0.31,1.21,-0.7,-20,-10,0.01,-0.3,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0,0,0,0,0,0,-0.004,0,0,0,0,0,0,0,1,0.035,-0.002
-308,-28,0.39,0.25,1.25,0.3,-19,-5,-0.015,-1,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033,-0.0018
-364,-40,0.15,-0.19,1.21,0.8,-18,8,-0.008,3.9,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.028,-0.0016
-254,-43,0.11,-0.04,1.03,0.8,-18,22,-0.008,0.2,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,-0.001,0,-0.001,0,0,0,0,0,0,0,0,0,0.8,0.028,-0.002
78,-46,-0.05,0.04,0.7,0.9,-18,16,-0.018,-0.9,0.029,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.028,-0.0021
288,-41,-0.31,0.2,0.51,0.6,-18,11,-0.017,-1.6,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.8,0.031,-0.0016
252,-31,-0.5,0.18,0.59,-0.3,-19,0,0.005,0.3,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0.9,0.031,-0.0015
-38,-13,0.3,0.17,0.88,-1.1,-20,-3,0.009,1.2,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.031,-0.0014
-45,-14,0.37,0.24,0.89,-0.8,-20,-3,0.007,-0.6,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0,0.9,0.031,-0.0016
-83,-15,0.46,0.21,0.93,-0.3,-19,-4,0.009,0.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.031,-0.0017
-122,-17,0.46,0.26,0.98,0.2,-19,-7,-0.006,-0.6,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.031,-0.002
-294,-33,-0.23,0.16,1.12,0.9,-18,-2,-0.022,0.1,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,-0.0019
-297,-41,-0.52,0.1,1.11,0.3,-19,0,-0.012,0.4,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.028,-0.0012
-153,-52,-0.3,0.19,0.96,-1.5,-20,0,0.023,0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,-0.001
-136,-55,0.03,0.21,0.94,-1.7,-21,1,0.022,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.028,0.028,0.028,0.028,0.029,0,0,0,0,0,0,0,0,-0.002,0,-0.001,0,-0.002,0,0.8,0.029,-0.0017
55,-56,0.44,0.2,0.74,-0.9,-20,-3,-0.009,-0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,-0.0019
