"theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","alpha8","a1","a2","a3","a4","a5","a6","a7","a8","d1","d2","d3","d4","d5","d6","d7","d8","y"
-0.0013923374,-0.15322909,0.15630204,-0.031471692,0.099482915,0.053745227,-0.22602161,0.068680575,0,0.39269908,-0.39269908,0.39269908,0.39269908,-0.39269908,0,-0.39269908,0.28958654,0.30131723,0.28244663,0,0.31596188,0.30019176,0.28502391,0.29749806,0.28199747,0.31420628,0.29455228,0.28774909,0.31180793,0.30995856,0,0,2.8892811
0.24475291,-0.039345699,-0.29206713,0.2804859,-0.14739352,0.21707524,-0.26206763,-0.057699612,-0.39269908,-0.39269908,0.39269908,-0.39269908,-0.39269908,0.39269908,0,-0.39269908,0.31818054,0.31812148,0.28250078,0.3132386,0.31800729,0.27938962,0,0,0,0,0.29574685,0.27197549,0,0.2908154,0,0.29820034,2.0775127
0.26555963,0.31413154,-0.15189233,0.0038507955,0.0035116507,-0.041628016,0.30478115,-0.22423698,0,0,0.39269908,0,0,-0.39269908,-0.39269908,0,0,0.30925645,0.28487934,0.27063653,0.29927228,0,0.2917042,0,0.27986221,0.31426801,0.28730962,0,0,0.29480538,0.30962077,0.30743418,2.2817474
-0.13817942,-0.11622321,0.078817476,0.18985694,-0.30419622,0.0019941796,0.21529374,-0.044519024,0,0.39269908,0,-0.39269908,0.39269908,0,0,0,0.30737716,0.29478902,0.29011962,0,0,0.30640949,0,0.2917522,0.32698622,0.32117947,0,0,0.30953554,0.32057669,0,0,1.7097512
-0.11574732,-0.090978205,0.2566134,0.12297701,-0.29339319,-0.015594397,-0.086198698,0.16101025,0,0.39269908,0.39269908,0,0.39269908,0.39269908,0.39269908,0,0.30066391,0,0.3149845,0,0.28209847,0.30074352,0.30405821,0.29833653,0,0.29612819,0,0.29023392,0,0,0,0.28929347,2.1501801
0.051556996,0.067186217,0.110349,-0.16071032,0.08308484,0.28313003,0.31010263,-0.0073082781,-0.39269908,0,-0.39269908,0.39269908,-0.39269908,-0.39269908,0,-0.39269908,0.29754654,0.3316614,0.32280328,0.31662293,0,0,0,0.28709433,0.29644732,0.28706505,0.30042577,0,0,0,0,0.29591424,1.4878828
0.13609,0.18515336,-0.18921997,-0.29999172,0.29533549,-0.012792949,-0.12616114,0.18470934,-0.39269908,-0.39269908,0.39269908,-0.39269908,0,-0.39269908,0,-0.39269908,0.30719017,0.30057349,0,0,0.31619148,0,0.29083936,0.30262676,0.28869242,0.2997339,0.29703299,0.30903254,0.27986056,0,0.29741663,0.29606613,2.3841627
0.20562352,0.16258296,-0.025459359,-0.010526243,0.27125203,-0.14637227,-0.2117007,0.1141541,-0.39269908,-0.39269908,0.39269908,0,-0.39269908,0,0,0.39269908,0.30251164,0.2929843,0,0,0.30902385,0.31042809,0,0.27090573,0.28462539,0,0.29635173,0,0.29952178,0,0,0.29243917,1.4618789
0.098662712,0.091598364,0.11329855,-0.22472734,-0.16974166,-0.28199342,-0.056691839,-0.28884474,-0.39269908,0,0,-0.39269908,-0.39269908,0,-0.39269908,0,0.29561619,0.2981243,0.30764055,0.29259672,0.30901998,0,0.31070528,0.31092667,0.29242738,0.31696546,0.32457461,0,0.3093092,0,0.31698473,0,2.3153908
-0.15870751,-0.18502999,-0.25065442,0.12690911,-0.17994125,-0.17553024,-0.18124388,-0.077717649,0,-0.39269908,-0.39269908,0.39269908,0.39269908,-0.39269908,0,-0.39269908,0.30081271,0.29509744,0.31123076,0.28709634,0,0,0.28285425,0,0,0,0,0.30822111,0,0.31834106,0.29778788,0.30169814,2.0054377
-0.040695947,0.26209166,-0.16660591,0.27013816,-0.017642884,0.042389156,-0.078668674,-0.20221782,0,0,0.39269908,0.39269908,0,0.39269908,0.39269908,0.39269908,0.29153221,0.3081477,0.31089466,0,0.32284208,0.32713429,0.30689057,0,0.32663881,0.29865171,0,0,0,0.31983688,0.28109475,0.27520892,1.9749579
