"climbRate","Sgz","p","q","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SaTime1","SaTime2","SaTime3","SaTime4","diffSaTime1","diffSaTime2","diffSaTime3","Sa","Goal"
118,-55,-0.28,-0.08,-0.2,-11,11,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,-0.001,0.031
390,-45,-0.06,-0.07,-0.6,-12,11,0.01,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.034
68,6,0.11,0.15,0.6,-10,-9,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-2e-04,0,0,-0.001,0.033
-358,-12,-0.2,0.13,-0.3,-11,-7,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,-0.001,0.032
-374,-29,-0.14,0.03,-0.8,-12,5,0.003,-0.3,-8e-04,-0.001,-0.001,-0.001,1e-04,0,0,-0.001,0.028
-11,-43,0.34,-0.05,-0.4,-11,9,0.01,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,-7e-04,0.029
-120,13,0.29,0.15,-1.4,-12,-9,0.008,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.029
-335,-3,0.27,0.13,-0.1,-11,-8,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,-0.001,0.027
-237,-32,-0.15,0.03,0.3,-11,2,-0.007,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,-0.001,0.026
-104,-60,0.3,0.09,0.8,-10,-4,-0.007,-0.2,-9e-04,-9e-04,-9e-04,-9e-04,0,0,-2e-04,-9e-04,0.027
108,-70,-0.4,0.01,-0.6,-11,6,0.003,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,1e-04,-8e-04,0.025
51,-52,0.18,0.1,-1.5,-12,-4,0.004,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.026
-368,-71,0.03,0.12,-0.8,-12,-7,-0.002,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
58,-85,0.13,-0.11,-0.5,-11,17,0.003,-0.3,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,-7e-04,0.022
376,-73,0.01,-0.04,-0.3,-11,8,-0.006,-0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.023
501,-41,-0.19,0.04,-0.7,-12,1,-0.005,-0.1,-8e-04,-8e-04,-8e-04,-9e-04,0,0,1e-04,-9e-04,0.022
556,-25,-0.08,0.03,-0.9,-12,4,0.009,-0.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.025
-131,12,0.06,0.19,0.1,-11,-15,-0.01,-0.2,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.023
-275,2,-0.13,0.07,0,-11,-4,-0.008,0.2,-8e-04,-8e-04,-8e-04,-9e-04,0,0,1e-04,-9e-04,0.022
-130,-15,-0.2,0.02,-0.9,-12,4,-0.001,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
199,-14,0.04,-0.04,-1.2,-12,10,0.007,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.022
93,7,0.25,0.09,0,-11,-5,0.001,-0.1,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,-7e-04,0.023
-31,9,0.13,0.11,0.4,-11,-7,-0.008,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
-128,5,-0.17,0.13,0.4,-11,-9,-0.01,-0.4,-8e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,-9e-04,0.021
-194,3,-0.17,-0.04,0.2,-11,-2,0.005,2.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
102,-3,0.16,-0.03,0.2,-11,7,0.007,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-234,1,-0.12,0.13,1,-10,-11,-0.009,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.022
-323,-7,-0.22,0.09,0.7,-10,-3,-0.007,-0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
-328,-15,-0.3,0.03,0.4,-11,4,-0.005,-0.3,-6e-04,-7e-04,-7e-04,-8e-04,1e-04,0,1e-04,-8e-04,0.018
200,-21,0.08,-0.12,-0.2,-11,17,0.011,-0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.02
384,-10,0.27,-0.02,0.3,-11,6,0.008,0.5,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.022
318,3,0.34,0.1,0.8,-10,-10,0.002,1,-8e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,-2e-04,-6e-04,0.023
-332,3,-0.21,0.16,1.2,-10,-14,-0.01,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
-427,-19,-0.36,0.05,0.3,-11,1,-0.002,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,1e-04,0,0,-7e-04,0.019
139,-39,0.23,-0.03,-0.5,-11,8,0.008,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
-113,-34,0.32,0.07,-0.8,-12,-2,0.005,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
-54,-38,0.39,0.01,0.1,-11,4,0.002,0.1,-7e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,0,-6e-04,0.02
-81,-42,0.16,0.04,0.9,-10,1,-0.007,-0.5,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.02
-83,-46,-0.23,0.04,0.9,-10,-1,-0.012,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.018
-27,-48,-0.38,0.01,0.4,-11,6,-0.009,-0.7,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.019
146,-6,0.18,0.11,0.6,-10,-9,-0.007,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.021
-182,-6,-0.33,0.14,0.4,-11,-11,-0.016,0,-9e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,-9e-04,0.018
-259,-10,-0.43,-0.05,0,-11,-2,-0.008,2,-8e-04,-8e-04,-8e-04,-8e-04,1e-04,0,0,-8e-04,0.017
330,-11,-0.09,-0.13,-1.4,-12,19,0.012,0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.018
509,-3,0.06,0.04,-1.4,-12,5,0.011,-1.9,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
550,13,0.22,0.04,-1.2,-12,-1,0.009,0.5,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
14,52,0.03,0.14,0.9,-10,-12,-0.015,0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.02
-263,40,-0.51,0.09,-0.6,-11,-5,-0.007,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.018
275,36,0.49,0.01,-0.6,-11,5,0.002,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
